,index,resourceId,fromUserId_x,categoryId,longitude,latitude,created_dates,updated_dates
0,1944,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
1,1945,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
2,1946,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
3,1947,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
4,1948,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
5,1949,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
6,1950,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
7,1951,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
8,1952,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
9,1953,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
10,1954,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
11,1955,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
12,1956,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
13,1957,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
14,1958,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
15,1959,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
16,1960,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
17,1961,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
18,1962,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
19,1963,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
20,1964,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
21,1965,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
22,1966,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
23,1967,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
24,1968,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
25,1969,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
26,1970,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
27,1971,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
28,1972,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
29,1973,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
30,1974,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
31,1975,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
32,1976,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
33,1977,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
34,1978,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
35,1979,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
36,1980,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
37,1981,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
38,1982,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
39,1983,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
40,1984,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
41,1985,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
42,1986,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
43,1987,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
44,1988,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
45,1989,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
46,1990,604cf485c4e5fa0b7f7799405,5fdf6bbcfe08e8c0191a7805,602cb9e778d3fda29f330608,-77.24819491306222,49.92842763925514,2021-01-21,2021-02-24
